Address,City,Cust First Name,Cust Full Name,Cust Last Name,CustNum (Customers),Cust Num,Date of Purchase,Number of Records,Order Num,Phone,Price,ProductCategory,Product ID,ProductName,Quantity,SKU,State,ZIP Code
22 Superior Way,Boston,Graham,Graham Frederick,Frederick,77,77,01/01/17,1,1,(707) 474-5854,13.95,Bottle,B0001,Lemon (bottle),3,B0001,Massachusetts,02203
68316 Emmet Trail,San Diego,Jael,Jael Rice,Rice,42,42,01/01/17,1,2,(394) 444-6027,13.95,Bottle,B0001,Lemon (bottle),2,B0001,California,92153
99 Sage Street,Reno,Nolan,Nolan Slater,Slater,5,5,05/01/17,1,3,(540) 487-5928,13.95,Bottle,B0001,Lemon (bottle),1,B0001,Nevada,89505
561 Basil Court,Greensboro,Blaine,Blaine Ashley,Ashley,49,49,15/01/17,1,4,(261) 759-5806,13.95,Bottle,B0001,Lemon (bottle),1,B0001,North Carolina,27404
75 Erie Terrace,Dayton,Medge,Medge Ratliff,Ratliff,7,7,17/01/17,1,5,(358) 751-8227,13.95,Bottle,B0002,Mandarin (bottle),1,B0002,Ohio,45454
556 Lakewood Park,Bismarck,Cally,Cally Reynolds,Reynolds,1,1,18/01/17,1,6,(901) 166-8355,82.95,Case,C0002,Mandarin (case),1,C0002,North Dakota,58505
602 Sommers Parkway,Norfolk,Brock,Brock Case,Case,94,94,19/01/17,1,7,(544) 534-1984,13.95,Bottle,B0004,Thyme (bottle),4,B0004,Virginia,23520
400 Summit Lane,Brooklyn,Theodore,Theodore Brock,Brock,95,95,20/01/17,1,8,(662) 476-0315,13.95,Bottle,B0002,Mandarin (bottle),4,B0002,New York,11210
9776 Beilfuss Parkway,Cleveland,Karly,Karly Hardin,Hardin,64,64,21/01/17,1,9,(106) 281-7513,13.95,Bottle,B0002,Mandarin (bottle),1,B0002,Ohio,44118
55617 Straubel Drive,Philadelphia,Eagan,Eagan Bray,Bray,97,97,21/01/17,1,10,(529) 738-3373,13.95,Bottle,B0003,Rosemary (bottle),4,B0003,Pennsylvania,19146
874 Leroy Hill,Santa Rosa,Oleg,Oleg Merritt,Merritt,51,51,22/01/17,1,11,(513) 912-4721,82.95,Case,C0007,Assortment (case),2,C0007,California,95405
605 Bunting Road,White Plains,Roth,Roth Black,Black,45,45,24/01/17,1,12,(330) 983-4433,13.95,Bottle,B0001,Lemon (bottle),2,B0001,New York,10606
7189 Pankratz Point,Dayton,Jaime,Jaime Craig,Craig,66,66,04/02/17,1,13,(375) 915-2089,82.95,Case,C0001,Lemon (case),2,C0001,Ohio,45454
33837 Independence Place,Oklahoma City,Jenna,Jenna Hendricks,Hendricks,84,84,06/02/17,1,14,(840) 746-9696,13.95,Bottle,B0003,Rosemary (bottle),2,B0003,Oklahoma,73124
