Cust ID,Cust Name,Cust State,Emp ID,Employee Job Title,Employee Name,Number of Records,Order Total,Order Date,Order Num,Order Type,Price,Prod Category,Prod Name,Prod Number,Quantity,Sales Region
2853,Ewan Ladd,Ohio,900015476,Senior Sales Associate,Alexis Golsworthy,1,44.95,03/09/17,1100948,Retail,44.95,Training Videos,Understanding Automation,TV810,1,N Central East
3557,Lockman Group,Kansas,900015476,Senior Sales Associate,Alexis Golsworthy,1,49.9,24/09/17,1101096,Wholesale,4.99,Blueprints,Cat Robot Blueprint,BP104,10,N Central East
4036,Romaguera LLC,Ohio,900015476,Senior Sales Associate,Alexis Golsworthy,1,1000,01/10/17,1101138,Wholesale,250,Drones,DX-145 Drone,DS306,4,N Central East
4377,Vern Hodkiewicz,Minnesota,900015476,Senior Sales Associate,Alexis Golsworthy,1,250,03/10/17,1101158,Retail,250,Drones,DX-145 Drone,DS306,1,N Central East
3822,Nolan Wirth,Kansas,900015476,Senior Sales Associate,Alexis Golsworthy,1,13.99,09/10/17,1101181,Retail,13.99,eBooks,Drone Building Essentials,EB507,1,N Central East
3908,Predovic LLC,Iowa,900015476,Senior Sales Associate,Alexis Golsworthy,1,392,31/10/17,1101354,Wholesale,49,Training Videos,Industrial 3D Printing,TV805,8,N Central East
3091,Heath Pretswell,Michigan,900015476,Senior Sales Associate,Alexis Golsworthy,1,599,18/11/17,1101475,Retail,599,Robots,RXW-9807 Robot,RS707,1,N Central East
4422,Waters Co.,Indiana,900015476,Senior Sales Associate,Alexis Golsworthy,1,11687,22/11/17,1101495,Wholesale,899,Robots,MICR-23K Robot,RS702,13,N Central East
2143,Aaron Homenick,Indiana,900015476,Senior Sales Associate,Alexis Golsworthy,1,119,18/12/17,1101685,Retail,119,Drone Kits,BYOD-400,DK206,1,N Central East
3465,Kuvalis Group,Ohio,900015476,Senior Sales Associate,Alexis Golsworthy,1,1074,27/12/17,1101743,Wholesale,179,Drone Kits,BYOD-550,DK209,6,N Central East
3477,Langosh Inc.,Minnesota,900015476,Senior Sales Associate,Alexis Golsworthy,1,756,08/01/18,1101825,Wholesale,189,Robot Kits,BYOR-1500,RK603,4,N Central East
2304,Bashirian International,Illinois,900015476,Senior Sales Associate,Alexis Golsworthy,1,239.92,09/01/18,1101839,Wholesale,29.99,Training Videos,Cloud Computing,TV803,8,N Central East
3409,Kessler Inc.,Ohio,900015476,Senior Sales Associate,Alexis Golsworthy,1,39.95,19/01/18,1101902,Wholesale,7.99,Blueprints,Panda Robot Blueprint,BP108,5,N Central East
3104,Heller Inc.,Minnesota,900015476,Senior Sales Associate,Alexis Golsworthy,1,179.94,22/01/18,1101926,Wholesale,29.99,Training Videos,Cloud Computing,TV803,6,N Central East
3735,Mitchell Hayes,Kansas,900015476,Senior Sales Associate,Alexis Golsworthy,1,19.99,25/01/18,1101945,Retail,19.99,eBooks,GPS Drones,EB509,1,N Central East
3085,Hayes LLC,Illinois,900015476,Senior Sales Associate,Alexis Golsworthy,1,29.94,12/02/18,1102052,Wholesale,4.99,Blueprints,Cat Robot Blueprint,BP104,6,N Central East
2344,Bergnaum Group,Ohio,900015476,Senior Sales Associate,Alexis Golsworthy,1,224.91,18/02/18,1102085,Wholesale,24.99,eBooks,Building Your Own Drone,EB503,9,N Central East
2280,Aufderhar Tech,Kansas,900015476,Senior Sales Associate,Alexis Golsworthy,1,209.85,09/03/18,1102227,Wholesale,13.99,eBooks,Drone Building Essentials,EB507,15,N Central East
3153,Hudson LLC,Ohio,900015476,Senior Sales Associate,Alexis Golsworthy,1,341.91,21/03/18,1102305,Wholesale,37.99,Training Videos,Drone Video Techniques,TV804,9,N Central East
3431,Koch LLC,Ohio,900015476,Senior Sales Associate,Alexis Golsworthy,1,101.94,21/03/18,1102306,Wholesale,16.99,eBooks,Delta Robots,EB506,6,N Central East
4410,Walker Group,Minnesota,900015476,Senior Sales Associate,Alexis Golsworthy,1,80.91,11/04/18,1102439,Wholesale,8.99,Blueprints,Hexacopter Drone Blueprint,BP106,9,N Central East
3231,Janene Olivia,Wisconsin,900015476,Senior Sales Associate,Alexis Golsworthy,1,1398,15/04/18,1102469,Retail,699,Robots,RLK-9920 Robot,RS704,2,N Central East
3008,Green-Shields,Minnesota,900015476,Senior Sales Associate,Alexis Golsworthy,1,2250,02/05/18,1102578,Wholesale,450,Drones,DTD-7000 Drone,DS303,5,N Central East
2431,Bryana Reedshaw,Indiana,900015476,Senior Sales Associate,Alexis Golsworthy,1,8.99,15/05/18,1102680,Retail,8.99,Blueprints,Hexacopter Drone Blueprint,BP106,1,N Central East
4491,Zebadiah Kinsey,Minnesota,900015476,Senior Sales Associate,Alexis Golsworthy,1,12,18/05/18,1102697,Retail,12,Blueprints,Creature Robot Arms Blueprint,BP105,1,N Central East
4435,White Group,Ohio,900015476,Senior Sales Associate,Alexis Golsworthy,1,108,25/05/18,1102745,Wholesale,12,Blueprints,Ladybug Robot Blueprint,BP107,9,N Central East
3596,MacGyver Group,Ohio,900015476,Senior Sales Associate,Alexis Golsworthy,1,1512,01/07/18,1103009,Wholesale,189,Robot Kits,BYOR-1000,RK602,8,N Central East
2780,Edwina Roubert,Iowa,900015476,Senior Sales Associate,Alexis Golsworthy,1,49.95,07/07/18,1103056,Retail,49.95,Training Videos,AI for Educators,TV802,1,N Central East
3650,Mary Jast,Iowa,900015476,Senior Sales Associate,Alexis Golsworthy,1,189,26/07/18,1103206,Retail,189,Robot Kits,BYOR-1000,RK602,1,N Central East
2319,Beier Inc.,Michigan,900015476,Senior Sales Associate,Alexis Golsworthy,1,3657,27/07/18,1103219,Wholesale,69,Drone Kits,BYOD-220,DK203,53,N Central East
3860,Paolo Gadaud,Ohio,900015476,Senior Sales Associate,Alexis Golsworthy,1,15.5,03/08/18,1103275,Retail,15.5,eBooks,Fixed Wing Drones,EB508,1,N Central East
3316,Joeseph Douglas,Kansas,900015476,Senior Sales Associate,Alexis Golsworthy,1,883,05/08/18,1103291,Retail,883,Robots,RWW-75 Robot,RS706,1,N Central East
3721,Milly Parrot,Indiana,900015476,Senior Sales Associate,Alexis Golsworthy,1,16.99,05/08/18,1103289,Retail,16.99,eBooks,Delta Robots,EB506,1,N Central East
2232,Andriana Campes,Kansas,900015476,Senior Sales Associate,Alexis Golsworthy,1,13.99,07/08/18,1103301,Retail,13.99,eBooks,Drone Building Essentials,EB507,1,N Central East
2265,Artair Stratiff,Michigan,900015476,Senior Sales Associate,Alexis Golsworthy,1,16.75,22/08/18,1103413,Retail,16.75,eBooks,Spherical Robots,EB519,1,N Central East
3008,Green-Shields,Minnesota,900015476,Senior Sales Associate,Alexis Golsworthy,1,101.94,12/09/18,1103565,Wholesale,16.99,eBooks,Delta Robots,EB506,6,N Central East
3477,Langosh Inc.,Minnesota,900015476,Senior Sales Associate,Alexis Golsworthy,1,124,16/10/18,1103780,Wholesale,15.5,eBooks,Fixed Wing Drones,EB508,8,N Central East
3710,Mickie Imlen,Ohio,900015476,Senior Sales Associate,Alexis Golsworthy,1,44.95,17/10/18,1103787,Retail,44.95,Training Videos,Understanding Automation,TV810,1,N Central East
4036,Romaguera LLC,Ohio,900015476,Senior Sales Associate,Alexis Golsworthy,1,3506.1,18/10/18,1103799,Wholesale,44.95,Training Videos,Understanding Automation,TV810,78,N Central East
3647,Marvin Inc.,Kansas,900015476,Senior Sales Associate,Alexis Golsworthy,1,3594,02/11/18,1103887,Wholesale,599,Robots,RXW-9807 Robot,RS707,6,N Central East
3189,Issy Battison,Michigan,900015476,Senior Sales Associate,Alexis Golsworthy,1,37.99,20/11/18,1104015,Retail,37.99,Training Videos,Drone Video Techniques,TV804,1,N Central East
2353,Bertrand Pusill,Illinois,900015476,Senior Sales Associate,Alexis Golsworthy,1,599,04/12/18,1104089,Retail,599,Robots,RXW-9807 Robot,RS707,1,N Central East
2737,Dorey Gonzales,Michigan,900015476,Senior Sales Associate,Alexis Golsworthy,1,222,23/12/18,1104242,Retail,222,Robot Kits,BYOR-3535,RK606,1,N Central East
4410,Walker Group,Minnesota,900015476,Senior Sales Associate,Alexis Golsworthy,1,2495,02/01/19,1104323,Wholesale,499,Drones,MICR-564K Drone,DS307,5,N Central East
4361,Ullrich Inc.,Kansas,900015476,Senior Sales Associate,Alexis Golsworthy,1,39.92,11/01/19,1104380,Wholesale,4.99,Blueprints,Cat Robot Blueprint,BP104,8,N Central East
2565,Connelly LLC,Illinois,900015476,Senior Sales Associate,Alexis Golsworthy,1,79.96,19/01/19,1104420,Retail,19.99,eBooks,GPS Drones,EB509,4,N Central East
2403,Brenda Murray,Michigan,900015476,Senior Sales Associate,Alexis Golsworthy,1,24.99,21/01/19,1104433,Retail,24.99,eBooks,Building Your Own Drone,EB503,1,N Central East
3403,Kenon Hatwell,Ohio,900015476,Senior Sales Associate,Alexis Golsworthy,1,49,26/01/19,1104457,Retail,49,Training Videos,Industrial 3D Printing,TV805,1,N Central East
2229,Anderson LLC,Ohio,900015476,Senior Sales Associate,Alexis Golsworthy,1,1800,16/02/19,1104578,Wholesale,225,Robot Kits,BYOR-3535,RK606,8,N Central East
4468,Wylie Candy,Ohio,900015476,Senior Sales Associate,Alexis Golsworthy,1,179,13/03/19,1104768,Retail,179,Drone Kits,BYOD-550,DK209,1,N Central East
2345,Bergstrom LLC,Minnesota,900015476,Senior Sales Associate,Alexis Golsworthy,1,122.5,20/03/19,1104819,Wholesale,17.5,eBooks,Understanding Arduino,EB520,7,N Central East
2476,Cartwright LLC,Iowa,900015476,Senior Sales Associate,Alexis Golsworthy,1,1157,23/03/19,1104837,Wholesale,89,Drone Kits,BYOD-300,DK204,13,N Central East
